,codmpio,ano,H_coca,coca,year,pct.chg
270,15580,1993,0,0,1993,0
271,15599,1993,0,0,1993,0
272,15600,1993,0,0,1993,0
273,15621,1993,0,0,1993,0
274,15632,1993,0,0,1993,0
275,15638,1993,0,0,1993,0
276,15646,1993,0,0,1993,0
277,15660,1993,0,0,1993,0
278,15664,1993,0,0,1993,0
279,15667,1993,0,0,1993,0
280,15673,1993,0,0,1993,0
281,15676,1993,0,0,1993,0
282,15681,1993,0,0,1993,0
283,15686,1993,0,0,1993,0
284,15690,1993,0,0,1993,0
285,15693,1993,0,0,1993,0
286,15696,1993,0,0,1993,0
287,15720,1993,0,0,1993,0
288,15723,1993,0,0,1993,0
289,15740,1993,0,0,1993,0
290,15753,1993,0,0,1993,0
291,15755,1993,0,0,1993,0
292,15757,1993,0,0,1993,0
293,15759,1993,0,0,1993,0
294,15761,1993,0,0,1993,0
295,15762,1993,0,0,1993,0
296,15763,1993,0,0,1993,0
297,15764,1993,0,0,1993,0
298,15774,1993,0,0,1993,0
299,15776,1993,0,0,1993,0
300,15778,1993,0,0,1993,0
301,15790,1993,0,0,1993,0
302,15798,1993,0,0,1993,0
303,15804,1993,0,0,1993,0
304,15806,1993,0,0,1993,0
305,15808,1993,0,0,1993,0
306,15810,1993,0,0,1993,0
307,15814,1993,0,0,1993,0
308,15816,1993,0,0,1993,0
309,15820,1993,0,0,1993,0
310,15822,1993,0,0,1993,0
311,15832,1993,0,0,1993,0
312,15835,1993,0,0,1993,0
313,15837,1993,0,0,1993,0
314,15839,1993,0,0,1993,0
315,15842,1993,0,0,1993,0
316,15861,1993,0,0,1993,0
317,15879,1993,0,0,1993,0
318,15897,1993,0,0,1993,0
319,17001,1993,0,0,1993,0
320,17013,1993,0,0,1993,0
321,17042,1993,0,0,1993,0
322,17050,1993,0,0,1993,0
323,17088,1993,0,0,1993,0
324,17174,1993,0,0,1993,0
325,17272,1993,0,0,1993,0
326,17380,1993,0,0,1993,0
327,17388,1993,0,0,1993,0
328,17433,1993,0,0,1993,0
329,17442,1993,0,0,1993,0
330,17444,1993,0,0,1993,0
331,17446,1993,0,0,1993,0
332,17486,1993,0,0,1993,0
333,17495,1993,0,0,1993,0
334,17513,1993,0,0,1993,0
335,17524,1993,0,0,1993,0
336,17541,1993,0,0,1993,0
337,17614,1993,0,0,1993,0
338,17616,1993,0,0,1993,0
339,17653,1993,0,0,1993,0
340,17662,1993,0,0,1993,0
341,17665,1993,0,0,1993,0
342,17777,1993,0,0,1993,0
343,17867,1993,0,0,1993,0
344,17873,1993,0,0,1993,0
345,17877,1993,0,0,1993,0
346,18001,1993,0,0,1993,0
347,18029,1993,0,0,1993,0
